alpha,beta,lr,weight_decay,train_loss,test_acc,train_acc
0.1,0.9,0.001,0.0,0.019563415780237625,88.65,99.34
0.1,1.0,0.001,0.0,0.019866335672582974,88.78,99.306
0.1,0.5,0.001,0.0,0.021469836643592893,88.26,99.27
0.1,1.5,0.001,0.0,0.02222019969129327,88.18,99.21
0.1,2.0,0.001,0.0,0.022805551090752895,88.08,99.206
0.5,0.5,0.001,0.0,0.02666806355974048,88.69,98.984
0.1,2.5,0.001,0.0,0.030085937184761564,87.87,99.022
0.1,3.0,0.001,0.0,0.030171526028425433,88.0,98.97
0.5,1.0,0.001,0.0,0.03175928608077217,88.56,98.908
0.1,0.1,0.001,0.0,0.032034953162834355,87.74,98.85
0.5,0.9,0.001,0.0,0.03250388204053577,88.57,98.834
0.5,0.1,0.001,0.0,0.032808005244338086,87.52,98.798
0.9,0.1,0.001,0.0,0.03368138307135324,87.77,98.764
1.0,0.5,0.001,0.0,0.034906581652407745,88.49,98.774
1.0,0.1,0.001,0.0,0.034939679566637745,87.81,98.736
0.1,3.5,0.001,0.0,0.035440143722831746,88.22,98.778
0.9,0.5,0.001,0.0,0.03591645878445053,88.55,98.722
0.1,4.0,0.001,0.0,0.037670308634952396,87.24,98.684
0.5,1.5,0.001,0.0,0.038179677934861,88.36,98.632
0.9,0.9,0.001,0.0,0.04192320696952544,88.79,98.516
0.9,1.0,0.001,0.0,0.04317604599292485,88.73,98.446
1.0,0.9,0.001,0.0,0.044492864377834666,88.67,98.448
1.0,1.0,0.001,0.0,0.04608024008648128,88.83,98.296
0.5,2.0,0.001,0.0,0.04788358558007345,87.96,98.314
0.5,2.5,0.001,0.0,0.054005108792714925,87.86,98.11
0.9,1.5,0.001,0.0,0.05711291811181879,88.17,98.044
0.5,3.0,0.001,0.0,0.06375859792306258,88.09,97.66
0.5,3.5,0.001,0.0,0.07183599389367262,87.57,97.468
0.9,2.0,0.001,0.0,0.07387450168251383,87.94,97.358
0.5,4.0,0.001,0.0,0.08000617939028509,87.05,97.19
0.9,2.5,0.001,0.0,0.086938843672753,87.8,96.874
0.9,3.0,0.001,0.0,0.10509198018330701,87.28,96.284
0.9,3.5,0.001,0.0,0.11370426224430605,87.11,95.954
0.9,4.0,0.001,0.0,0.12974470386243597,86.74,95.392
