epoch,train_loss,train_acc1,train_acc5,val_acc1,val_acc5,best_acc1,best_acc5,optimizer
0,5.195621053941481,8.905935833492334,21.994305196389085,10.874,28.106,10.874,28.106,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
1,3.6698456947620097,25.87576336588095,49.311253481007846,21.6,44.606,21.6,44.606,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
2,3.0930187443991404,34.792938943023756,59.79637330902173,37.708,64.936,37.708,64.936,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
3,2.8076518142378175,39.642576148882675,64.80118142176191,35.38,61.15,37.708,64.936,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
4,2.632604075454689,42.671687085200965,67.69697650817335,40.178,66.544,40.178,66.544,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
5,2.5209884486593803,44.631461291476164,69.5971176300672,36.754,62.874,40.178,66.544,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
6,2.4332352934064683,46.2787081785963,71.07108513452864,43.022,69.556,43.022,69.556,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
7,2.372464668762672,47.414234510913424,72.11357136574729,42.518,68.922,43.022,69.556,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
8,2.330246985589827,48.123275011218475,72.59250933494576,45.656,72.068,45.656,72.068,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
9,2.2955454662963226,48.805777227898076,73.29873989974611,45.686,72.316,45.686,72.316,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
10,2.266892469679559,49.29002285400267,73.70243402856747,36.944,62.66,45.686,72.316,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
11,2.233463050506927,49.984389244480624,74.3437238513181,38.986,65.606,45.686,72.316,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
12,2.225126016842616,50.154546476340336,74.46611217264247,44.602,70.724,45.686,72.316,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
13,2.188089177229783,50.8919985509408,75.0724339033003,49.916,75.444,49.916,75.444,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
14,2.180779180374298,50.900116143923306,75.06400409626217,39.616,65.624,49.916,75.444,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
15,2.1564793257803827,51.51861426424546,75.43273013375295,45.528,71.44,49.916,75.444,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
16,2.1431729190952176,51.64912017774244,75.64191425324391,40.572,66.532,49.916,75.444,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
17,2.1230412101173974,52.0453211443604,75.9675546056594,49.912,75.858,49.916,75.858,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
18,2.1025590663666014,52.37564472395098,76.32035767333697,40.884,66.634,49.916,75.858,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
19,2.0865795527304805,52.78402207956629,76.55077241988076,49.742,75.486,49.916,75.858,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
20,2.083947471281389,52.77871442270781,76.62195746333786,43.334,69.04,49.916,75.858,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
21,2.0647179790548273,53.15462140767939,76.89046245234466,43.458,70.01,49.916,75.858,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
22,2.0526632940614378,53.34413597544557,77.06811284626484,43.786,69.896,49.916,75.858,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
23,2.0367997048737165,53.87458943675749,77.3544140969458,48.482,74.674,49.916,75.858,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
24,2.020545720934987,54.10313089282188,77.60293731969578,50.02,76.296,50.02,76.296,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
25,2.008307992304479,54.07971475994776,77.7231401343413,49.536,75.734,50.02,76.296,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
26,1.997773398409833,54.41222384540728,77.90172717319152,46.826,72.604,50.02,76.296,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
27,1.9919014115671774,54.67354788740969,77.93107539322685,51.206,76.4,51.206,76.4,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
28,1.968338249017904,55.0563236047107,78.31229003496163,51.254,76.62,51.254,76.62,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
29,1.9671950046118203,55.045396075794734,78.4000224788205,49.892,75.346,51.254,76.62,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
30,1.9444480013061356,55.519026388277645,78.74658124442372,51.558,76.956,51.558,76.956,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
31,1.9438469034093957,55.684812608304185,78.73128270396043,47.944,73.712,51.558,76.956,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
32,1.9213189872471126,56.036366815281056,79.06972387696227,53.186,78.254,53.186,78.254,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
33,1.910416104314806,56.15407190890629,79.20522523130886,52.426,78.124,53.186,78.254,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
34,1.896680008829176,56.54964844541209,79.36226942847894,51.14,76.668,53.186,78.254,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
35,1.8888638522003318,56.55027287585773,79.52836786375212,50.414,75.432,53.186,78.254,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
36,1.8682415948762046,57.07416981989629,79.79031633615253,55.49,80.098,55.49,80.098,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
37,1.8597566358573907,57.26711875413685,79.9792064740924,55.45,80.096,55.49,80.098,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
38,1.8495151182035585,57.366403157023846,80.04040063375413,57.744,81.748,57.744,81.748,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
39,1.8381871671467036,57.629288274259004,80.2548924100083,55.574,80.606,57.744,81.748,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
40,1.8268981726614983,57.757296466830965,80.40007243333238,48.022,73.638,57.744,81.748,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
41,1.8088888212398335,58.27245138782251,80.6766950152264,55.562,80.144,57.744,81.748,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
42,1.7962217175877178,58.48944088509698,80.88088369286731,53.72,78.362,57.744,81.748,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
43,1.7773238387260284,58.84661496346437,81.12160153802435,56.764,80.858,57.744,81.748,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
44,1.7572427663888845,59.29401920723498,81.40228291636198,51.8,77.03,57.744,81.748,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
45,1.7526708263736386,59.47635282775857,81.50593833051047,57.268,81.33,57.744,81.748,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
46,1.7371341781778173,59.68366365653195,81.70638042738318,59.252,83.352,59.252,83.352,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
47,1.7165565813099826,60.08517228000839,81.99830154945465,58.952,82.644,59.252,83.352,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
48,1.7082205600671836,60.21193161202256,82.10102031838727,60.102,83.784,60.102,83.784,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
49,1.6891882883323417,60.67525882593986,82.38045283631003,63.358,85.994,63.358,85.994,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
50,1.6667638797502775,60.974673110786405,82.70016110299352,59.102,82.688,63.358,85.994,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
51,1.6552598049114278,61.28844928978465,82.85377093326046,54.724,78.754,63.358,85.994,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
52,1.634933264724739,61.78674459541364,83.05015423359427,58.056,81.452,63.358,85.994,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
53,1.6182473967363546,62.11987811074711,83.36611591846146,63.516,85.756,63.516,85.994,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
54,1.6008304959886914,62.45863149799514,83.4654003216343,64.548,86.464,64.548,86.464,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
55,1.57787462019182,62.974098634805,83.86222571874555,63.152,85.754,64.548,86.464,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
56,1.5631994061060361,63.350630049745824,84.05267693163232,63.66,85.868,64.548,86.464,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
57,1.5457676747581224,63.58229365689503,84.34241254807304,64.696,86.772,64.696,86.772,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
58,1.5181264592217398,64.1502129304149,84.70426985309149,65.35,86.754,65.35,86.772,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
59,1.5013886114457746,64.57576211692526,84.87692480535217,65.594,86.932,65.594,86.932,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
60,1.4807284150447522,64.95385460747994,85.21193161221312,64.88,86.492,65.594,86.932,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
