run_id,epoch,train_loss,train_accuracy,test_loss,test_accuracy,optimizer,lr,param_norm,grad_norm,adjusted_grad,momentum_norm
0,0,3.8543696950893014,9.582,4.255328068733215,8.63,"INNAprop, ($\alpha$, $\beta$)= (0.5,0.9) + schedulers",0.0009999383162408303,334.551105648512,0.04222751491033705,28.391679120482877,4.499607954203498
0,1,3.1471211095245515,21.164,3.522430245876312,16.72,"INNAprop, ($\alpha$, $\beta$)= (0.5,0.9) + schedulers",0.0009997532801828658,362.8151942270342,0.05377727811355726,31.502008947427385,4.516984068519832
0,2,2.6772581095598182,30.29,3.250416920185089,21.08,"INNAprop, ($\alpha$, $\beta$)= (0.5,0.9) + schedulers",0.0009994449374809851,393.3647425445961,0.060350575815391494,31.48134016804397,4.549037205856621
0,3,2.3449880930842184,37.09,2.934661338329315,28.14,"INNAprop, ($\alpha$, $\beta$)= (0.5,0.9) + schedulers",0.0009990133642141358,425.42718956188764,0.05972451302841364,31.29336961149238,4.596576346910297
0,4,2.0862130115226822,42.716,2.658165686130524,33.08,"INNAprop, ($\alpha$, $\beta$)= (0.5,0.9) + schedulers",0.000998458666866564,458.23861494334415,0.072724819288851,31.965201139682904,4.6565258285818345
0,5,1.8699232747360153,47.87,2.4910089564323425,37.39,"INNAprop, ($\alpha$, $\beta$)= (0.5,0.9) + schedulers",0.00099778098230154,491.4722726880573,0.07620409409719286,30.420547930290923,4.726093391105678
0,6,1.6953888048931045,52.058,2.244807745218277,42.79,"INNAprop, ($\alpha$, $\beta$)= (0.5,0.9) + schedulers",0.0009969804777275899,524.8836450527888,0.06356660622259369,28.06939263571985,4.7988672483370465
0,7,1.5349676195456057,55.928,2.2122990679740906,44.01,"INNAprop, ($\alpha$, $\beta$)= (0.5,0.9) + schedulers",0.000996057350657239,558.5133796788286,0.06535139177867677,24.203809234430082,4.876539655815577
0,8,1.3801867387124471,59.81,2.040238608121872,47.27,"INNAprop, ($\alpha$, $\beta$)= (0.5,0.9) + schedulers",0.0009950118288582787,592.0940564090852,0.0674191747984878,24.22125454968773,4.9608997406649
0,9,1.241294885320323,63.644,1.8967762422561645,51.06,"INNAprop, ($\alpha$, $\beta$)= (0.5,0.9) + schedulers",0.0009938441702975688,625.6242407900281,0.052868291080812924,19.319753528921865,5.044914448480995
0,10,1.1026015486948344,67.178,1.836191895008087,52.73,"INNAprop, ($\alpha$, $\beta$)= (0.5,0.9) + schedulers",0.000992554663077387,658.9053440836724,0.05974838286238082,20.86104897467885,5.129516522249105
0,11,0.9678193172629999,70.968,1.861498975753784,52.96,"INNAprop, ($\alpha$, $\beta$)= (0.5,0.9) + schedulers",0.0009911436253643444,691.8174181156792,0.04906098024548555,17.190392415504903,5.2207516342023155
0,12,0.8392799981698698,74.492,1.8725272572040559,53.43,"INNAprop, ($\alpha$, $\beta$)= (0.5,0.9) + schedulers",0.0009896114053108828,724.2205902675632,0.06585634105249483,18.719141311128624,5.305820054341893
0,13,0.7274332197040928,77.686,1.917718507051468,54.16,"INNAprop, ($\alpha$, $\beta$)= (0.5,0.9) + schedulers",0.0009879583809693736,756.007054687012,0.05105720191204455,15.744613664923236,5.3968610087868
0,14,0.6077167143931195,81.272,1.9060128831863403,55.83,"INNAprop, ($\alpha$, $\beta$)= (0.5,0.9) + schedulers",0.0009861849601988382,786.6550891618244,0.04192869375401642,14.25728683010675,5.488366174908151
0,15,0.4974725156718371,84.628,2.061663123369217,55.83,"INNAprop, ($\alpha$, $\beta$)= (0.5,0.9) + schedulers",0.0009842915805643154,816.1527136233635,0.05803671527974075,18.089311544783413,5.57491533609209
0,16,0.41019568656932337,87.292,1.971505457162857,56.89,"INNAprop, ($\alpha$, $\beta$)= (0.5,0.9) + schedulers",0.000982278709228899,844.4282498243265,0.03588418291110429,12.144144039484672,5.664046805126418
0,17,0.3348666335247001,89.57,2.119631450176239,56.89,"INNAprop, ($\alpha$, $\beta$)= (0.5,0.9) + schedulers",0.0009801468428384714,871.2628366672434,0.050882471274235286,15.41409346763976,5.743118811940803
0,18,0.27516917736098473,91.378,2.3157382905483246,56.89,"INNAprop, ($\alpha$, $\beta$)= (0.5,0.9) + schedulers",0.0009778965073991648,896.7000209027901,0.06616130179099855,18.866013835882768,5.813553755288012
0,19,0.22851881479882463,92.806,2.2649953722953797,56.89,"INNAprop, ($\alpha$, $\beta$)= (0.5,0.9) + schedulers",0.0009755282581475766,920.8800978455693,0.053657028620364144,15.57619234523736,5.874432714939758
0,20,0.19509363569775406,93.858,2.392362105846405,56.89,"INNAprop, ($\alpha$, $\beta$)= (0.5,0.9) + schedulers",0.0009730426794137723,943.7312150010839,0.049529542553500505,13.793759396881796,5.937326143604878
0,21,0.17151824590198847,94.662,2.380810662508011,57.39,"INNAprop, ($\alpha$, $\beta$)= (0.5,0.9) + schedulers",0.0009704403844771124,965.3681627716869,0.027943358123593498,9.62254036939703,5.992335137387272
0,22,0.15772570551810217,95.152,2.458355700969696,57.39,"INNAprop, ($\alpha$, $\beta$)= (0.5,0.9) + schedulers",0.0009677220154149334,986.0548326205462,0.044744509152224055,13.708758381428197,6.043687443292583
0,23,0.13542454325765066,95.784,2.38671200633049,58.5,"INNAprop, ($\alpha$, $\beta$)= (0.5,0.9) + schedulers",0.0009648882429441253,1005.4089990928769,0.01955211558015435,6.159506809897721,6.090128525043838
0,24,0.12267173490277966,96.128,2.4842505633831022,58.53,"INNAprop, ($\alpha$, $\beta$)= (0.5,0.9) + schedulers",0.000961939766255643,1023.8439073972404,0.036778612087800866,11.044661717838608,6.126627417608688
