alpha,beta,lr,weight_decay,train_loss,test_acc,train_acc
0.1,0.5,0.001,0.01,0.1345920190025045,87.26,95.334
0.1,0.9,0.001,0.01,0.14344535566562291,87.17,94.932
0.1,1.0,0.001,0.01,0.144873432720042,87.77,94.886
0.5,0.5,0.001,0.01,0.1577212270729396,85.93,94.482
0.1,1.5,0.001,0.01,0.1655880617243903,87.06,94.09
0.1,2.0,0.001,0.01,0.17666764374898405,87.12,93.834
0.9,0.1,0.001,0.01,0.1793705791006891,85.52,93.596
1.0,0.1,0.001,0.01,0.1816422951844882,85.09,93.65
0.5,0.1,0.001,0.01,0.1839889694689488,85.79,93.58
0.1,2.5,0.001,0.01,0.18405920012416888,85.96,93.568
0.5,1.0,0.001,0.01,0.18637459827777075,85.97,93.36
0.9,0.5,0.001,0.01,0.18911505699613873,85.29,93.382
0.5,0.9,0.001,0.01,0.18956993003280795,86.96,93.272
1.5,0.1,0.001,0.01,0.1898942179597762,84.99,93.404
0.1,3.0,0.001,0.01,0.19366673034216678,85.69,93.12
0.1,0.1,0.001,0.01,0.1976619613908079,85.58,92.988
1.0,0.5,0.001,0.01,0.20031083291586566,84.91,92.994
2.0,0.1,0.001,0.01,0.20090719183184663,85.06,92.972
0.5,1.5,0.001,0.01,0.20950406303211133,86.18,92.564
0.1,4.0,0.001,0.01,0.21348933472621198,86.06,92.45
2.5,0.1,0.001,0.01,0.21542611098563186,83.51,92.346
0.1,3.5,0.001,0.01,0.22125291482222323,85.08,92.106
0.9,0.9,0.001,0.01,0.22614283080459857,84.46,91.996
0.9,1.0,0.001,0.01,0.23013608503554547,85.75,92.03
1.0,0.9,0.001,0.01,0.23330710440569993,85.11,91.79
3.0,0.1,0.001,0.01,0.23350962433887987,83.42,91.882
1.5,0.5,0.001,0.01,0.23375351814439102,83.53,91.83
0.5,2.0,0.001,0.01,0.2349474931477892,84.67,91.73
1.0,1.0,0.001,0.01,0.2402796334758097,84.53,91.612
0.5,2.5,0.001,0.01,0.2498617929463484,85.19,91.32
3.5,0.1,0.001,0.01,0.2593639640479672,83.18,90.866
0.5,3.0,0.001,0.01,0.2650863839959612,84.45,90.792
0.9,1.5,0.001,0.01,0.2672109811433724,81.89,90.604
2.0,0.5,0.001,0.01,0.26829234244568007,82.28,90.648
4.0,0.1,0.001,0.01,0.26941736308591707,82.31,90.648
1.5,0.9,0.001,0.01,0.2773309214686861,84.06,90.41
1.0,1.5,0.001,0.01,0.2796564548447424,81.03,90.24
0.5,3.5,0.001,0.01,0.284666829115274,80.75,89.954
