epoch,train_loss,train_acc1,train_acc5,val_acc1,val_acc5,best_acc1,best_acc5,optimizer
0,4.9647058183973005,11.5541443432272,26.25885129780928,18.664,39.684,18.664,39.684,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0), lr = 0.001, wd = 0.1"
1,3.30427025767354,31.64893284839437,56.0223171354232,30.892,56.002,30.892,56.002,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0), lr = 0.001, wd = 0.1"
2,2.807909042661364,39.78369737602517,64.76808662081545,37.162,63.21,37.162,63.21,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0), lr = 0.001, wd = 0.1"
3,2.603337946257272,43.288311915043735,68.29018520590425,40.886,67.414,40.886,67.414,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0), lr = 0.001, wd = 0.1"
4,2.48853120682361,45.37453323803882,70.12101457362935,40.708,67.386,40.886,67.414,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0), lr = 0.001, wd = 0.1"
5,2.4183073678097644,46.58686448615638,71.2933822881852,40.664,67.322,40.886,67.414,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0), lr = 0.001, wd = 0.1"
6,2.3688769589651835,47.45981791581803,72.15103717838399,46.292,73.144,46.292,73.144,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0), lr = 0.001, wd = 0.1"
7,2.3255743083182154,48.26127408720469,72.8931724801119,39.374,66.118,46.292,73.144,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0), lr = 0.001, wd = 0.1"
8,2.294223065166683,49.02869881204791,73.26252294733372,35.91,60.934,46.292,73.144,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0), lr = 0.001, wd = 0.1"
9,2.271404252781139,49.30688246950815,73.66777815224535,38.43,64.59,46.292,73.144,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0), lr = 0.001, wd = 0.1"
10,2.247186878344396,49.77926392152855,74.0836486700164,41.556,67.122,46.292,73.144,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0), lr = 0.001, wd = 0.1"
11,2.215813299016162,50.33063579450373,74.56539657495777,44.898,71.706,46.292,73.144,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0), lr = 0.001, wd = 0.1"
12,2.2155478766867214,50.35217863689847,74.5922470744492,41.032,66.902,46.292,73.144,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0), lr = 0.001, wd = 0.1"
