step;validation_loss;optimizer
64000;3.0622780323028564;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
65000;3.0644495487213135;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
66000;3.0609023571014404;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
67000;3.0446784496307373;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
68000;3.057149648666382;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
69000;3.0730838775634766;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
70000;3.0669867992401123;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
71000;3.041530132293701;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
72000;3.0557711124420166;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
73000;3.047492027282715;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
74000;3.054473638534546;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
75000;3.043336868286133;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
76000;3.0476162433624268;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
77000;3.0421142578125;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
78000;3.053191900253296;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
79000;3.0335326194763184;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
80000;3.0377087593078613;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
81000;3.029564142227173;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
82000;3.0281782150268555;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
83000;3.031764268875122;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
84000;3.02817440032959;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
85000;3.0281982421875;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
86000;3.0288033485412598;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
87000;3.035086154937744;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
88000;3.036627769470215;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
89000;3.0385026931762695;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
90000;3.027536630630493;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
91000;3.0049495697021484;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
92000;3.038233757019043;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
93000;3.0204885005950928;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
94000;3.034346342086792;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
95000;3.0239486694335938;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
96000;3.028299570083618;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
97000;3.0225884914398193;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
98000;3.017204999923706;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
99000;3.009070634841919;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
100000;3.014000654220581;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
