step;validation_loss;optimizer
73000;3.0624423027038574;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
74000;3.0658648014068604;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
75000;3.053359270095825;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
76000;3.056216239929199;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
77000;3.0489251613616943;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
78000;3.058521032333374;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
79000;3.036508560180664;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
80000;3.0371007919311523;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
81000;3.028461217880249;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
82000;3.0259664058685303;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
83000;3.027789354324341;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
84000;3.0234203338623047;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
85000;3.020455837249756;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
86000;3.0203521251678467;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
87000;3.0253496170043945;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
88000;3.0243442058563232;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
89000;3.0255496501922607;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
90000;3.013730764389038;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
91000;2.9901223182678223;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
92000;3.0218448638916016;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
93000;3.003655433654785;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
94000;3.017181634902954;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
95000;3.0062406063079834;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
96000;3.007871389389038;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
97000;3.0041539669036865;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
98000;2.997457981109619;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
99000;2.989375591278076;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
100000;2.993056058883667;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
