alpha,beta,lr,weight_decay,train_loss,test_acc,train_acc
0.9,0.9,0.001,0.01,0.0001438267273136503,91.32,99.998
0.5,4.0,0.001,0.01,0.000149069183255877,91.73,99.994
0.1,4.0,0.001,0.01,0.00016443045386409368,90.68,99.984
0.5,2.0,0.001,0.01,0.0001735544265879609,91.0,99.99
1.0,0.9,0.001,0.01,0.00018644615089071374,91.16,99.992
1.0,1.5,0.001,0.01,0.00018755411519220746,91.2,99.998
0.5,3.0,0.001,0.01,0.00018956470387133684,91.37,99.992
0.5,3.5,0.001,0.01,0.00019787953406727625,91.55,99.998
0.5,2.5,0.001,0.01,0.00020439523345773734,91.5,99.99
0.9,1.5,0.001,0.01,0.0002081977880614116,91.28,99.992
0.9,1.0,0.001,0.01,0.00020856061554955625,91.29,99.992
1.5,0.9,0.001,0.01,0.0002117296948505768,91.48,99.992
1.0,2.0,0.001,0.01,0.0002177920287577967,91.33,99.986
1.5,0.5,0.001,0.01,0.000218705289449756,90.54,99.992
0.1,3.5,0.001,0.01,0.00022610297655692842,90.94,99.978
0.9,2.0,0.001,0.01,0.00023427157525568,91.54,99.996
2.0,0.5,0.001,0.01,0.00023513241454886194,90.74,99.996
0.9,3.0,0.001,0.01,0.00023645046826807314,91.74,99.99
1.0,1.0,0.001,0.01,0.00024330945227726093,90.91,99.99
0.5,1.0,0.001,0.01,0.00024965934934401477,91.1,99.99
1.0,0.5,0.001,0.01,0.000253202386590824,91.04,99.992
0.9,0.5,0.001,0.01,0.0002579590071672082,90.56,99.986
1.5,1.0,0.001,0.01,0.0002580908664283145,91.39,99.992
0.1,3.0,0.001,0.01,0.00026789740349743497,90.67,99.984
0.9,2.5,0.001,0.01,0.0002719554054061775,91.49,99.988
1.0,3.0,0.001,0.01,0.00027208935458307974,91.59,99.984
2.5,0.5,0.001,0.01,0.0002801118602192497,90.89,99.99
0.9,4.0,0.001,0.01,0.00028777640532457924,91.93,99.994
1.0,2.5,0.001,0.01,0.00030660378379849943,91.82,99.992
2.0,0.9,0.001,0.01,0.000306881883925227,91.63,99.99
0.5,0.9,0.001,0.01,0.0003070994235894413,90.52,99.988
0.5,1.5,0.001,0.01,0.0003102158300396008,91.35,99.99
1.5,1.5,0.001,0.01,0.00033139815022048433,91.35,99.99
1.0,3.5,0.001,0.01,0.0003338748241402202,91.77,99.988
0.9,3.5,0.001,0.01,0.00034413237221997406,91.88,99.982
3.0,0.5,0.001,0.01,0.0003574390096413741,90.44,99.992
2.0,1.0,0.001,0.01,0.00036052274993622,91.48,99.99
0.1,2.5,0.001,0.01,0.0003765422896737284,90.86,99.972
1.0,4.0,0.001,0.01,0.0003862521482089357,91.51,99.982
3.5,0.5,0.001,0.01,0.0003927979800330516,90.83,99.994
0.1,2.0,0.001,0.01,0.00039729278626403044,90.57,99.972
2.5,0.1,0.001,0.01,0.0004101755438457577,89.13,99.992
2.0,0.1,0.001,0.01,0.0004162807406327356,89.47,99.99
3.0,0.1,0.001,0.01,0.000421530180880595,88.8,99.988
1.5,2.0,0.001,0.01,0.0004448052346301016,91.54,99.984
0.1,1.5,0.001,0.01,0.00045465426165831055,90.42,99.972
4.0,0.1,0.001,0.01,0.00045819986257347224,88.75,99.994
2.5,1.0,0.001,0.01,0.0004619804814438441,91.2,99.99
3.5,0.1,0.001,0.01,0.0004888565267812774,88.74,99.996
0.5,0.5,0.001,0.01,0.0004926182092643158,90.22,99.99
2.5,0.9,0.001,0.01,0.0005028586527710011,91.2,99.99
1.5,2.5,0.001,0.01,0.0005466025247224767,91.96,99.986
2.0,1.5,0.001,0.01,0.0005653282000728686,91.53,99.974
4.0,0.5,0.001,0.01,0.0005768379715215017,90.76,99.984
3.0,0.9,0.001,0.01,0.0005879132714208212,91.21,99.992
1.5,3.0,0.001,0.01,0.0006492279235502866,91.61,99.984
