alpha,beta,lr,weight_decay,train_loss,test_acc,train_acc
0.1,0.5,0.001,0.01,0.09376383219294403,88.02,96.812
0.1,0.9,0.001,0.01,0.10703367186824278,87.08,96.264
0.1,1.0,0.001,0.01,0.10788129437334683,87.54,96.232
0.5,0.5,0.001,0.01,0.11074459317083261,86.48,96.126
0.5,0.1,0.001,0.01,0.11976563269082381,86.07,95.762
0.9,0.1,0.001,0.01,0.12299302581469623,86.03,95.58
1.0,0.1,0.001,0.01,0.12774847633186348,86.56,95.43
1.5,0.1,0.001,0.01,0.13232192248866267,86.62,95.454
0.5,0.9,0.001,0.01,0.1368671993211824,86.56,95.122
0.9,0.5,0.001,0.01,0.1375028881035289,86.21,95.316
0.1,0.1,0.001,0.01,0.1397514290993615,86.39,95.074
2.0,0.1,0.001,0.01,0.14189201452750333,85.88,95.05
0.1,1.5,0.001,0.01,0.14301188298672132,87.31,95.03
1.0,0.5,0.001,0.01,0.1461751369417322,86.32,94.802
0.5,1.0,0.001,0.01,0.14664040599018335,86.87,94.904
2.5,0.1,0.001,0.01,0.1536746744294556,84.68,94.622
0.1,2.0,0.001,0.01,0.15553315195768158,86.78,94.574
3.0,0.1,0.001,0.01,0.16559311723792736,85.24,94.082
3.5,0.1,0.001,0.01,0.17256165402276175,84.43,93.964
0.1,2.5,0.001,0.01,0.1768140467453976,86.15,93.852
1.5,0.5,0.001,0.01,0.17736420913466386,84.54,93.742
0.9,0.9,0.001,0.01,0.18146870646397678,85.88,93.714
0.1,3.0,0.001,0.01,0.18248316402337988,85.33,93.648
0.9,1.0,0.001,0.01,0.1851031023020647,85.82,93.534
1.0,0.9,0.001,0.01,0.1892841569889261,85.97,93.352
4.0,0.1,0.001,0.01,0.18964976612098364,83.97,93.306
0.5,1.5,0.001,0.01,0.18996588406818254,85.62,93.362
0.1,3.5,0.001,0.01,0.19528642220764744,85.24,93.304
1.0,1.0,0.001,0.01,0.19949058720803992,83.21,93.028
0.1,4.0,0.001,0.01,0.20056093316905352,84.43,93.01
0.5,2.0,0.001,0.01,0.20575813013984232,85.36,92.898
2.0,0.5,0.001,0.01,0.2124262147830153,83.75,92.53
0.5,2.5,0.001,0.01,0.22718606706784697,83.37,92.044
0.9,1.5,0.001,0.01,0.23205298877188138,84.68,92.078
1.5,0.9,0.001,0.01,0.23949399427035634,83.29,91.624
2.5,0.5,0.001,0.01,0.24204550215936438,83.36,91.62
1.0,1.5,0.001,0.01,0.24445730592219198,83.14,91.616
0.5,3.0,0.001,0.01,0.2481076295430563,83.43,91.358
0.5,3.5,0.001,0.01,0.25024802929588724,81.79,91.318
1.5,1.0,0.001,0.01,0.25312188765680305,85.51,91.13
0.9,2.0,0.001,0.01,0.2683779452832378,82.37,90.708
0.5,4.0,0.001,0.01,0.2696583633672218,82.09,90.682
3.0,0.5,0.001,0.01,0.27398637438915213,81.47,90.336
2.0,0.9,0.001,0.01,0.2805755894098963,81.1,90.228
1.0,2.0,0.001,0.01,0.28627526212711724,81.97,90.1
0.9,2.5,0.001,0.01,0.28671562534813977,81.68,90.126
3.5,0.5,0.001,0.01,0.29491239755737536,81.34,89.666
2.0,1.0,0.001,0.01,0.29818259939855457,82.7,89.522
1.5,1.5,0.001,0.01,0.3070944290684194,81.34,89.416
1.0,2.5,0.001,0.01,0.30964033244823924,82.32,89.058
0.9,3.0,0.001,0.01,0.31175433965970056,81.9,89.176
2.5,0.9,0.001,0.01,0.31391518487005815,78.12,89.078
4.0,0.5,0.001,0.01,0.3178890187065212,79.98,88.852
0.9,3.5,0.001,0.01,0.3187230470381221,81.61,89.108
1.0,3.0,0.001,0.01,0.327117919693796,78.02,88.714
0.9,4.0,0.001,0.01,0.33134957000005,78.29,88.524
2.5,1.0,0.001,0.01,0.3334502227300284,80.45,88.472
1.0,3.5,0.001,0.01,0.33843470197551107,79.02,88.48
1.5,2.0,0.001,0.01,0.3443949876391158,79.47,88.026
1.0,4.0,0.001,0.01,0.34881566168398276,81.83,87.942
3.0,0.9,0.001,0.01,0.35024987047120015,79.61,87.768
2.0,1.5,0.001,0.01,0.35707718590084386,80.58,87.614
3.0,1.0,0.001,0.01,0.3719452896288463,79.6,87.086
3.5,0.9,0.001,0.01,0.37560125166664315,77.73,86.936
1.5,2.5,0.001,0.01,0.37646271668526593,78.81,86.848
1.5,3.0,0.001,0.01,0.3953221041937264,75.65,86.326
2.0,2.0,0.001,0.01,0.39866230302319233,77.67,86.22
2.5,1.5,0.001,0.01,0.4001180220927511,77.39,86.278
3.5,1.0,0.001,0.01,0.40479644220702504,78.77,85.782
1.5,3.5,0.001,0.01,0.40882098127384575,75.59,85.936
4.0,0.9,0.001,0.01,0.41042303765306665,77.99,85.698
1.5,4.0,0.001,0.01,0.4192429631948471,75.21,85.444
4.0,1.0,0.001,0.01,0.42347911942978295,74.12,85.368
2.0,2.5,0.001,0.01,0.4260848163037884,76.84,85.36
3.0,1.5,0.001,0.01,0.44313084425366656,71.59,84.702
2.5,2.0,0.001,0.01,0.4452109356619874,76.88,84.638
2.0,3.0,0.001,0.01,0.44964822016808453,71.52,84.494
2.0,3.5,0.001,0.01,0.4702792059706182,68.66,83.744
3.5,1.5,0.001,0.01,0.4788363840507001,71.54,83.62
3.0,2.0,0.001,0.01,0.4844057993317137,66.23,83.134
2.5,2.5,0.001,0.01,0.48442671721687125,72.63,83.276
2.0,4.0,0.001,0.01,0.48893916819776806,74.92,83.234
4.0,1.5,0.001,0.01,0.5029681253494048,69.09,82.526
2.5,3.0,0.001,0.01,0.509693020004399,75.31,82.522
3.0,2.5,0.001,0.01,0.5221861775736419,67.23,81.994
3.5,2.0,0.001,0.01,0.5307202133901265,68.08,81.864
2.5,3.5,0.001,0.01,0.531304133333722,68.83,81.826
2.5,4.0,0.001,0.01,0.5410539693370158,71.33,81.356
3.0,3.0,0.001,0.01,0.5520725222874661,62.33,81.048
4.0,2.0,0.001,0.01,0.5661767873228812,67.58,80.75
3.5,2.5,0.001,0.01,0.5684465875430983,65.59,80.414
3.0,3.5,0.001,0.01,0.5725111299935652,66.32,80.322
3.0,4.0,0.001,0.01,0.5852720609733036,69.19,79.918
3.5,3.0,0.001,0.01,0.5919901591782667,62.72,79.54
