run_id,epoch,train_loss,train_accuracy,test_loss,test_accuracy,optimizer,lr,param_norm,grad_norm,adjusted_grad,momentum_norm
0,0,0.17930989664321992,95.46166666666667,0.05683478277933318,98.19,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9) + schedulers, lr = 0.001, wd = 0.0",0.0009938441702975688,51.18924602866173,0.07095797004876658,7.343988671898842,4.20127816288732
0,1,0.04406448526083053,98.58,0.039720157036790625,98.73,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9) + schedulers, lr = 0.001, wd = 0.0",0.0009755282581475768,55.55284085869789,0.03087533899815753,5.130032949149609,4.300449262373149
0,2,0.023595479381981112,99.31,0.03752785817247059,98.8,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9) + schedulers, lr = 0.001, wd = 0.0",0.0009455032620941839,60.312395721673965,0.032900933150813216,5.770758765982464,4.413576120510697
0,3,0.012570215422828405,99.64666666666666,0.042030872974355586,98.81,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9) + schedulers, lr = 0.001, wd = 0.0",0.0009045084971874737,65.53507369756699,0.03571431072373343,7.476900223875418,4.60316445492208
0,4,0.00584143039272572,99.85833333333333,0.04710978586393594,98.89,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9) + schedulers, lr = 0.001, wd = 0.0",0.0008535533905932737,71.1158654242754,0.03807250078290281,9.293783410044853,4.807199472561479
0,5,0.003100320762662458,99.925,0.04738233405111032,98.98,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9) + schedulers, lr = 0.001, wd = 0.0",0.0007938926261462366,77.04284331202507,0.049426060556129414,13.0271319426829,5.058586597442627
0,6,0.001619324729016226,99.96166666666667,0.05186013058526612,98.98,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9) + schedulers, lr = 0.001, wd = 0.0",0.0007269952498697733,83.27823859453201,0.04389980559670903,15.422466894990066,5.304924577474594
0,7,0.0009011486418303698,99.98,0.058125054324853875,98.99,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9) + schedulers, lr = 0.001, wd = 0.0",0.0006545084971874737,89.68218386173248,0.02511734498034457,14.193373878952116,5.552997473627329
0,8,0.0002888479841753552,99.99666666666667,0.06623009343328665,98.99,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9) + schedulers, lr = 0.001, wd = 0.0",0.0005782172325201155,96.01005205512047,0.007031384918718686,5.358343355823308,5.800705626606941
0,9,0.00011696066370693459,99.99833333333333,0.07527928850049218,98.99,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9) + schedulers, lr = 0.001, wd = 0.0",0.0005,101.92859557271004,0.003523450203260836,3.1443307432928123,6.043807413429022
0,10,0.00010571828627948054,99.99666666666667,0.08335306680955877,98.99,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9) + schedulers, lr = 0.001, wd = 0.0",0.0004217827674798847,107.08915838599205,0.0015021719338790263,1.4387932218669448,6.272620867937803
0,11,4.138430543326116e-05,100.0,0.08832769356083953,98.99,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9) + schedulers, lr = 0.001, wd = 0.0",0.00034549150281252633,109.80065619945526,0.0009560957722669627,1.2567062649468426,6.377690080553293
0,12,2.173909038385866e-05,100.0,0.08816556985663207,98.99,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9) + schedulers, lr = 0.001, wd = 0.0",0.00027300475013022663,109.50604805350304,0.0014010683777598842,2.0306323475087993,6.32298369333148
0,13,1.8603016728490427e-05,100.0,0.08467860346445324,98.99,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9) + schedulers, lr = 0.001, wd = 0.0",0.00020610737385376348,107.29681476950645,0.001178220277950004,2.6151806137058884,6.15917844325304
0,14,2.0230287177840045e-05,100.0,0.07971669966144558,98.99,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9) + schedulers, lr = 0.001, wd = 0.0",0.00014644660940672625,104.22672235965729,0.002148867557991707,5.091788408579305,5.947797432541847
0,15,2.2746953766140975e-05,100.0,0.07470304771153909,99.0,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9) + schedulers, lr = 0.001, wd = 0.0",9.549150281252631e-05,101.12325537204742,0.0015065328327636962,5.43942698976025,5.739399798214436
0,16,2.5027147219102837e-05,100.0,0.07076687922560837,99.04,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9) + schedulers, lr = 0.001, wd = 0.0",5.4496737905816096e-05,98.56491884589195,0.0012002520205669498,6.303124824538827,5.568948682397604
0,17,2.6147730437242255e-05,100.0,0.0682514766021332,99.05,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9) + schedulers, lr = 0.001, wd = 0.0",2.447174185242323e-05,96.84828701615334,0.0015983706658744268,8.600227980874479,5.454614266753197
0,18,2.582472881115208e-05,100.0,0.06709447553655372,99.06,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9) + schedulers, lr = 0.001, wd = 0.0",6.15582970243117e-06,95.99022790789604,0.0008326247422019151,6.753000111319125,5.397216010838747
0,19,2.4672861242721108e-05,100.0,0.06684695956556604,99.06,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9) + schedulers, lr = 0.001, wd = 0.0",0.0,95.75950101017952,0.0010060666342042168,8.413286928087473,5.381834343075752
