alpha,beta,lr,weight_decay,train_loss,test_acc,train_acc
3.0,2.5,0.001,0.0,0.5192914766316511,70.57,82.198
3.5,2.0,0.001,0.0,0.5284819029727761,68.63,81.694
2.5,3.5,0.001,0.0,0.5293492670265996,73.15,81.912
2.5,4.0,0.001,0.0,0.539976780968053,67.61,81.51
3.0,3.0,0.001,0.0,0.5558502155603194,66.12,80.88
3.5,2.5,0.001,0.0,0.5667599182651968,63.43,80.706
4.0,2.0,0.001,0.0,0.5670128435808786,67.56,80.462
3.0,3.5,0.001,0.0,0.5696821439327026,70.18,80.488
3.0,4.0,0.001,0.0,0.5841027645736324,64.33,80.146
3.5,3.0,0.001,0.0,0.5963277071714401,66.28,79.484
4.0,2.5,0.001,0.0,0.6016493781792874,64.67,79.298
3.5,3.5,0.001,0.0,0.6158976548788498,66.95,78.934
4.0,3.0,0.001,0.0,0.628718625526039,67.94,78.472
3.5,4.0,0.001,0.0,0.6532451154626145,59.33,77.856
4.0,3.5,0.001,0.0,0.6559265178381181,63.27,77.544
4.0,4.0,0.001,0.0,0.6922069502120115,69.09,76.6
