run_id,epoch,train_loss,train_accuracy,test_loss,test_accuracy,optimizer,lr
0,38,0.10899491815314609,96.162,0.48319493561983107,88.18,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.0009090748587125112
0,39,0.10648879872596993,96.206,0.4690705871582031,88.18,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.0009045084971874732
0,40,0.09913978581221736,96.466,0.5733501356840134,88.18,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.0008998423292435448
0,41,0.0941650741258446,96.64,0.5697735513746739,88.18,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.0008950775061878446
0,42,0.08941037778039368,96.856,0.6108535143733025,88.18,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.0008902152036691643
0,43,0.09116020805810635,96.794,0.48148600026965144,88.49,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.000885256621387894
0,44,0.08634076073613701,96.952,0.48189920917153356,88.77,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.0008802029828000149
0,45,0.08280284848178224,96.982,0.5486453710496426,88.77,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.0008750555348152292
0,46,0.08054615299179389,97.178,0.5630149103701114,88.77,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.0008698155474893041
0,47,0.07845340240556671,97.19,0.6638939662277699,88.77,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.0008644843137107051
0,48,0.07860840351453849,97.158,0.5349859073758125,88.77,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.0008590631488815938
0,49,0.07114381905721158,97.508,0.6412731492519379,88.77,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.0008535533905932731
0,50,0.072403213066258,97.378,0.5934599256515503,88.77,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.0008479563982961564
0,51,0.07055577340212707,97.496,0.5856699299812317,88.77,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.0008422735529643437
0,52,0.06412625854017631,97.78,0.5146563339233399,88.77,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.000836506256754886
0,53,0.06175609029905529,97.798,0.59165561825037,88.77,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.0008306559326618253
0,54,0.06230794188889618,97.818,0.8104459425806999,88.77,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.0008247240241650912
0,55,0.06227952895724043,97.774,0.5305387169122696,88.77,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.0008187119948743442
0,56,0.06081243601570628,97.834,0.7333648896217346,88.77,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.000812621328167852
0,57,0.055753752337388544,98.058,0.531185253560543,88.77,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.0008064535268264877
0,58,0.05469589570195091,98.048,0.5403868629038334,88.77,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.0008002101126629415
0,59,0.056639458708541125,98.03,0.5991462546586991,88.77,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.000793892626146236
0,60,0.0485631450488023,98.266,0.500859342366457,89.01,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.0007875026260216388
0,61,0.051143327704155625,98.222,0.5175974009931088,89.01,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.0007810416889260649
0,62,0.05243829069469048,98.184,0.6102990356087684,89.01,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.0007745114089990654
0,63,0.0500983810289858,98.242,0.5206801553815603,89.19,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.0007679133974894978
0,64,0.04671248684789301,98.31,0.5595945583283901,89.19,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.0007612492823579739
0,65,0.04884175105229476,98.3,0.5438647501170635,89.19,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.0007545207078751852
0,66,0.042325417349609186,98.508,0.5464362436532975,89.19,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.0007477293342162034
0,67,0.043413531325035254,98.448,0.5770167350769043,89.19,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.0007408768370508571
0,68,0.04263488559660559,98.518,0.6006367728114128,89.19,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.0007339649071302863
0,69,0.044736692886229376,98.438,0.6594720754027367,89.19,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.0007269952498697729
0,70,0.03937829353867992,98.668,0.5588316959142685,89.19,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.000719969584927957
0,71,0.03931276601910287,98.616,0.528392730653286,89.42,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0)",0.0007128896457825358
