step;validation_loss;optimizer
64000;2.897031307220459;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
65000;2.9011330604553223;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
66000;2.8871161937713623;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
67000;2.895892858505249;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
68000;2.8943495750427246;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
69000;2.884665012359619;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
70000;2.8831374645233154;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
71000;2.882534980773926;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
72000;2.881077766418457;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
73000;2.889172077178955;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
74000;2.8861868381500244;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
75000;2.866619348526001;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
76000;2.8609459400177;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
77000;2.866278886795044;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
78000;2.869067907333374;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
79000;2.879585027694702;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
80000;2.866840124130249;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
81000;2.8600432872772217;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
82000;2.8654448986053467;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
83000;2.8601996898651123;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
84000;2.8674652576446533;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
85000;2.851137161254883;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
86000;2.8523473739624023;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
87000;2.862103223800659;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
88000;2.8511757850646973;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
89000;2.862394332885742;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9), wd=0.01
