step;validation_loss;optimizer
73000;2.9015135765075684;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
74000;2.8965909481048584;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
75000;2.8762497901916504;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
76000;2.869807481765747;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
77000;2.8717257976531982;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
78000;2.872951030731201;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
79000;2.8813278675079346;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
80000;2.867612838745117;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
81000;2.8591010570526123;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
82000;2.8621082305908203;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
83000;2.856036424636841;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
84000;2.8615972995758057;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
85000;2.8458099365234375;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
86000;2.8467342853546143;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
87000;2.852085590362549;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
88000;2.841111421585083;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
89000;2.8504743576049805;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
90000;2.8395144939422607;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
91000;2.851271152496338;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
92000;2.8528521060943604;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
93000;2.8354742527008057;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
94000;2.8326985836029053;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
95000;2.837230920791626;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
96000;2.8399953842163086;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
97000;2.8436279296875;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
98000;2.8283133506774902;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
99000;2.827803611755371;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
100000;2.8359744548797607;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
