run_id,epoch,train_loss,train_accuracy,test_loss,test_accuracy,optimizer
0,0,0.4701388998299229,84.008,0.6505831471085548,78.97,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,1,0.24298803557698823,91.614,1.1586323058605195,78.97,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,2,0.1821951852845294,93.79,0.5381871569156647,84.72,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,3,0.14329378972096102,95.05,0.4956000766158104,86.05,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,4,0.11959869923944376,95.836,0.330492739379406,90.31,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,5,0.09531669526798081,96.72,0.2679160967469215,92.51,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,6,0.0776670153956024,97.274,0.25602186188101766,92.64,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,7,0.06776929192473086,97.672,0.28759048368781803,92.64,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,8,0.05846425896149357,98.0,0.25614479411393404,93.63,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,9,0.04823953717737934,98.316,0.25448447128757834,93.82,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,10,0.04446342694858203,98.424,0.3470989901572466,93.82,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,11,0.04488765826562838,98.484,0.26436192754656074,93.82,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,12,0.03610269874761984,98.78,0.28752306528389454,93.82,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,13,0.03394673648052754,98.824,0.41950582787394525,93.82,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,14,0.03207339708484253,98.86,0.29277557305991647,93.82,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,15,0.030238369574808344,98.962,0.30643708042800427,93.82,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,16,0.02888032141954125,99.002,0.3316046349704266,93.82,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,17,0.026016420241960856,99.106,0.31014442145824433,93.82,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,18,0.02213748669422859,99.236,0.31153814647346734,94.01,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,19,0.017255742311339865,99.406,0.2938888069242239,94.45,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,20,0.021856655420174783,99.25,0.39033928215503694,94.45,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,21,0.017207239593239027,99.426,0.3365056136995554,94.45,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,22,0.018591999468317598,99.352,0.49707141384482384,94.45,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,23,0.020658719535722226,99.284,0.3846429758146405,94.45,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,24,0.019120878161035706,99.338,0.331580857001245,94.45,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,25,0.017085553834699476,99.428,0.3138737364113331,94.45,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,26,0.01387717619500294,99.532,0.3400681125000119,94.45,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,27,0.013072136033454682,99.55,0.32507967837154866,94.45,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,28,0.01487420399688726,99.52,0.374985606148839,94.45,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,29,0.01234269327286878,99.584,0.32964441725984217,94.45,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,30,0.013322705390794222,99.528,0.34045188523828984,94.45,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,31,0.01496847751488011,99.508,0.3462616215273738,94.45,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,32,0.010891307010529183,99.642,0.32855429135262965,94.62,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,33,0.010701292540293903,99.62,0.3594520762562752,94.62,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,34,0.011192405385521183,99.616,0.32520603148266675,94.66,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,35,0.008670811651928506,99.71,0.3350847612693906,94.66,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,36,0.011839049398169701,99.616,0.3409586051478982,94.66,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,37,0.008907412958381298,99.71,0.33638721782714126,94.66,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,38,0.007029740319216662,99.762,0.35523453887552026,94.66,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,39,0.008986798829232147,99.708,0.38700284163467585,94.66,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
0,40,0.008362654669846441,99.718,0.3577553866058588,94.66,"innaprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.01"
