epoch,train_loss,train_acc1,train_acc5,val_acc1,val_acc5,best_acc1,best_acc5,optimizer
0,4.772963346134532,13.906685149705526,29.778139947155168,20.308,42.03,20.308,42.03,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.1"
1,3.2761764501596424,32.4204163696812,56.58992419407754,29.228,53.296,29.228,53.296,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.1"
2,2.8051554656767106,40.055324516235885,64.83771058894453,35.856,62.642,35.856,62.642,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.1"
3,2.684259938360094,41.961085509186766,67.06536535411438,32.18,57.218,35.856,62.642,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.1"
4,2.620891271247254,42.980780037929286,68.07132241762635,43.102,70.114,43.102,70.114,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.1"
5,2.6011964333045494,43.37854208020876,68.39134289912771,35.14,60.584,43.102,70.114,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.1"
6,2.59089530981504,43.557441334639094,68.50748691790132,37.012,63.746,43.102,70.114,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.1"
7,2.57869786189629,43.692318259207006,68.74383375093933,39.412,65.94,43.102,70.114,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.1"
8,2.580546487127984,43.58647733909429,68.73103293244914,42.006,69.004,43.102,70.114,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.1"
9,2.5781112536802873,43.69044496877526,68.64611042357092,33.698,59.536,43.102,70.114,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.1"
10,2.574353512993583,43.786607220529795,68.85716783368419,36.048,62.154,43.102,70.114,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.1"
11,2.563950834907852,43.90337566951084,68.9845515959058,40.938,68.162,43.102,70.114,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.1"
12,2.5696733987772022,43.83031733509794,68.90556117514159,36.644,62.77,43.102,70.114,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.1"
13,2.561973255187958,43.944900278400596,69.00640665316605,35.792,61.99,43.102,70.114,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.1"
14,2.556288578507903,44.114745294918386,69.15751876346077,33.994,60.276,43.102,70.114,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.1"
15,2.5544775054409548,44.12848275914849,69.14097136363068,41.14,67.972,43.102,70.114,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.1"
16,2.547221106392044,44.244938992882894,69.22495722624495,34.548,60.834,43.102,70.114,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.1"
17,2.546926553313668,44.19998001794752,69.33891573862556,41.62,68.54,43.102,70.114,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.1"
18,2.5278596721805418,44.60304971684727,69.56870605543831,41.41,68.22,43.102,70.114,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.1"
19,2.5293660653816477,44.63208572163595,69.45162539159175,40.37,66.592,43.102,70.114,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.1"
20,2.5233354096646075,44.697338678336806,69.63676894833465,41.456,67.878,43.102,70.114,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.1"
21,2.5139492440056967,44.73105790918103,69.78944213329044,35.958,62.108,43.102,70.114,"INNAprop, ($\alpha$, $\beta$)= (0.1,0.9), lr = 0.001, wd = 0.1"
