epoch,train_step,valid_loss,best_val_ppl,optimizer,lr
1,1000,1.323256966951367,3.755633453340437,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",0.0001961225281116712
1,2000,1.275374211779196,3.580040852925475,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",0.00018836758433501358
1,3000,1.218592455534086,3.382423470014873,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",0.00018061264055835595
1,4000,1.261153070332661,3.382423470014873,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",0.00017285769678169834
1,5000,1.217519849232615,3.378797406303729,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",0.00016510275300504073
2,6000,1.1962385413887566,3.30765189838064,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",0.0001573478092283831
2,7000,1.1942114405946371,3.3009537457996054,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",0.0001495928654517255
2,8000,1.159197860180515,3.187375529586226,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",0.00014183792167506785
2,9000,1.1791317524669105,3.187375529586226,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",0.00013408297789841025
2,10000,1.1730228950307793,3.187375529586226,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",0.00012632803412175264
3,11000,1.1799987136092904,3.2543700164956233,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",0.000118573090345095
3,12000,1.1600960450731728,3.1902396682045953,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",0.00011081814656843738
3,13000,1.1616629231466007,3.1902396682045953,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",0.00010306320279177977
3,14000,1.1546787591523504,3.1730039553097145,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",9.530825901512215e-05
3,15000,1.1584186308494169,3.1730039553097145,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",8.755331523846453e-05
4,16000,1.1559431253332797,3.177018331488713,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",7.979837146180691e-05
4,17000,1.1445856188768393,3.1411394582199885,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",7.204342768514929e-05
4,18000,1.1472134184449503,3.1411394582199885,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",6.428848390849167e-05
4,19000,1.1513907352641022,3.1411394582199885,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",5.653354013183405e-05
4,20000,1.1342183244350839,3.108742564810293,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",4.877859635517643e-05
4,21000,1.1411516717443728,3.108742564810293,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",4.102365257851881e-05
5,22000,1.1372485016919163,3.118176892451242,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",3.3268708801861186e-05
5,23000,1.1330028096698734,3.104966137937805,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",2.5513765025203567e-05
5,24000,1.1352678244959002,3.104966137937805,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",1.775882124854595e-05
5,25000,1.123773543495838,3.076441412606906,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",1.000387747188833e-05
5,26000,1.1252488896556914,3.076441412606906,"INNAprop, ($\alpha$, $\beta$)= (2.0,2.0)",2.24893369523071e-06
