epoch,train_step,valid_loss,best_val_ppl,optimizer,lr
1,1000,1.3263957178449794,3.767439970363208,AdamW,0.0001961225281116712
1,2000,1.242852391802693,3.4654842993341095,AdamW,0.00018836758433501358
1,3000,1.2276341216000792,3.413144890643917,AdamW,0.00018061264055835595
1,4000,1.2105034657384026,3.355173442264049,AdamW,0.00017285769678169834
1,5000,1.191062982002758,3.29057717329341,AdamW,0.00016510275300504073
2,6000,1.1825919480968827,3.2628203131225164,AdamW,0.0001573478092283831
2,7000,1.183506097619052,3.2628203131225164,AdamW,0.0001495928654517255
2,8000,1.1542219521146115,3.1715548357813543,AdamW,0.00014183792167506785
2,9000,1.162560586294491,3.1715548357813543,AdamW,0.00013408297789841025
2,10000,1.1521479818612745,3.1649839416698904,AdamW,0.00012632803412175264
3,11000,1.152232956575,3.165252896701306,AdamW,0.000118573090345095
3,12000,1.1618620485628712,3.165252896701306,AdamW,0.00011081814656843738
3,13000,1.138402176485078,3.1217763304238844,AdamW,0.00010306320279177977
3,14000,1.1492162566529969,3.1217763304238844,AdamW,9.530825901512215e-05
3,15000,1.1385343386345121,3.1217763304238844,AdamW,8.755331523846453e-05
4,16000,1.1350099713324684,3.1112045656055587,AdamW,7.979837146180691e-05
4,17000,1.1406633855698451,3.1112045656055587,AdamW,7.204342768514929e-05
4,18000,1.1399605972309634,3.1112045656055587,AdamW,6.428848390849167e-05
4,19000,1.1370776072144508,3.1112045656055587,AdamW,5.653354013183405e-05
4,20000,1.133654509785853,3.1069903042330753,AdamW,4.877859635517643e-05
4,21000,1.1310126168576822,3.0987928017502844,AdamW,4.102365257851881e-05
5,22000,1.1321744033428904,3.1023950294523743,AdamW,3.3268708801861186e-05
5,23000,1.1384843568993759,3.1023950294523743,AdamW,2.5513765025203567e-05
5,24000,1.1282361324570358,3.090200984917524,AdamW,1.775882124854595e-05
5,25000,1.1298665588287866,3.090200984917524,AdamW,1.000387747188833e-05
5,26000,1.1265437069718969,3.0849754731583725,AdamW,2.24893369523071e-06
