epoch,train_step,valid_loss,best_val_ppl,optimizer,lr
,1000,1.4033678108698702,4.068880136554427,AdamW,0.0001961225281116712
,2000,1.3107447426204812,3.7089348857867894,AdamW,0.00018836758433501358
,3000,1.285634258685455,3.6169613189797754,AdamW,0.00018061264055835595
,4000,1.2693740069253805,3.5586241908570764,AdamW,0.00017285769678169834
,5000,1.2376914698477477,3.4476452778233915,AdamW,0.00016510275300504073
,6000,1.2330404123521015,3.431647313975909,AdamW,0.0001573478092283831
,7000,1.2375457791535005,3.431647313975909,AdamW,0.0001495928654517255
,8000,1.2187504415234474,3.3829578877473683,AdamW,0.00014183792167506785
,9000,1.2149964889945233,3.370282231221462,AdamW,0.00013408297789841025
,10000,1.1970070807952178,3.310194936294655,AdamW,0.00012632803412175264
,11000,1.2031442936101597,3.3305727746815355,AdamW,0.000118573090345095
,12000,1.2121714368870813,3.3305727746815355,AdamW,0.00011081814656843738
,13000,1.1935209899834573,3.2986753869059995,AdamW,0.00010306320279177977
,14000,1.187956972175265,3.2803724644220438,AdamW,9.530825901512215e-05
,15000,1.1817820329627353,3.2601787754259894,AdamW,8.755331523846453e-05
,16000,1.1829427037234992,3.263964966441043,AdamW,7.979837146180691e-05
,17000,1.1782879115477816,3.2488071933639238,AdamW,7.204342768514929e-05
,18000,1.1836584317306542,3.2488071933639238,AdamW,6.428848390849167e-05
,19000,1.1764821810520267,3.2429460165854738,AdamW,5.653354013183405e-05
,20000,1.1778894781505,3.2429460165854738,AdamW,4.877859635517643e-05
,21000,1.1734127235177854,3.233007192703925,AdamW,4.102365257851881e-05
,22000,1.1718756170203424,3.2280415336928003,AdamW,3.3268708801861186e-05
,23000,1.1755024223294976,3.2280415336928003,AdamW,2.5513765025203567e-05
,24000,1.1713563759798464,3.2263658371309436,AdamW,1.775882124854595e-05
,25000,1.1699567730092022,3.221853364492584,AdamW,1.000387747188833e-05
,26000,1.1665515447009915,3.2109008766550935,AdamW,2.24893369523071e-06
