alpha,beta,lr,weight_decay,train_loss,test_acc,train_acc
0.1,0.9,0.001,0.01,0.02245933015558189,88.69,99.164
0.1,1.0,0.001,0.01,0.023242696121867214,88.97,99.142
0.1,1.5,0.001,0.01,0.023536190340694572,88.6,99.158
0.1,0.5,0.001,0.01,0.02520086361648876,88.35,99.138
0.1,2.0,0.001,0.01,0.025997910325472454,88.14,99.096
0.1,2.5,0.001,0.01,0.029291600837106153,87.81,98.958
0.5,1.0,0.001,0.01,0.030626884906324654,88.43,98.948
0.5,0.5,0.001,0.01,0.03132301204296171,88.28,98.854
0.1,3.0,0.001,0.01,0.03300078024099372,88.1,98.776
0.5,0.9,0.001,0.01,0.033652551555340846,88.76,98.818
0.9,0.5,0.001,0.01,0.03541430679378005,88.34,98.754
1.0,0.5,0.001,0.01,0.03678754990806385,88.51,98.65
0.1,3.5,0.001,0.01,0.03733840033415543,87.75,98.724
0.1,4.0,0.001,0.01,0.04091273025343461,87.55,98.474
1.5,0.1,0.001,0.01,0.041439736677732854,87.69,98.564
0.9,0.9,0.001,0.01,0.04147787476005983,88.08,98.33
0.5,1.5,0.001,0.01,0.042047886786108116,88.12,98.508
2.0,0.1,0.001,0.01,0.04264479874614246,87.36,98.462
0.9,0.1,0.001,0.01,0.04373569621191341,87.84,98.468
1.0,0.1,0.001,0.01,0.04423731122859659,87.56,98.442
2.5,0.1,0.001,0.01,0.04517940883239617,87.5,98.406
3.0,0.1,0.001,0.01,0.045181588515667816,87.11,98.404
1.0,0.9,0.001,0.01,0.04617828134048198,88.25,98.366
0.9,1.0,0.001,0.01,0.046320040596230905,89.44,98.386
1.5,0.5,0.001,0.01,0.0476006464652565,88.03,98.258
1.0,1.0,0.001,0.01,0.048269445677668006,88.27,98.316
3.5,0.1,0.001,0.01,0.04858003763900119,87.01,98.252
4.0,0.1,0.001,0.01,0.04888247364504757,87.08,98.218
0.5,2.0,0.001,0.01,0.05270281444512764,88.09,98.068
2.0,0.5,0.001,0.01,0.0535015556961298,88.03,98.124
0.5,0.1,0.001,0.01,0.05691935972557688,87.52,97.928
0.9,1.5,0.001,0.01,0.0611055338593694,87.98,97.766
1.5,0.9,0.001,0.01,0.06164649770386061,88.7,97.608
0.5,2.5,0.001,0.01,0.062354355228456615,88.05,97.788
1.0,1.5,0.001,0.01,0.06262257478641803,88.29,97.768
2.5,0.5,0.001,0.01,0.0672492796213043,87.42,97.496
0.5,3.0,0.001,0.01,0.06760822065478685,87.29,97.58
1.5,1.0,0.001,0.01,0.07041982235386968,87.48,97.47
0.5,3.5,0.001,0.01,0.07618015048531246,87.09,97.272
0.9,2.0,0.001,0.01,0.07832419237226476,87.3,97.222
3.0,0.5,0.001,0.01,0.08174334198464545,87.72,97.056
0.5,4.0,0.001,0.01,0.08607693818131727,87.54,96.912
2.0,0.9,0.001,0.01,0.08680728547826257,88.13,96.896
1.0,2.0,0.001,0.01,0.08696939840874805,87.97,96.934
2.0,1.0,0.001,0.01,0.08888644478949052,87.67,96.818
0.9,2.5,0.001,0.01,0.09118888689661209,86.96,96.802
3.5,0.5,0.001,0.01,0.09313483361382874,86.9,96.67
1.5,1.5,0.001,0.01,0.09710802930426232,86.9,96.556
1.0,2.5,0.001,0.01,0.10144739344773092,87.73,96.42
2.5,0.9,0.001,0.01,0.10463488689262648,86.68,96.38
4.0,0.5,0.001,0.01,0.10569188241105602,86.54,96.218
0.9,3.0,0.001,0.01,0.1069232793904993,86.91,96.188
1.0,3.0,0.001,0.01,0.11536222202133159,87.6,95.888
2.5,1.0,0.001,0.01,0.11571086418567872,86.71,95.8
0.9,3.5,0.001,0.01,0.12074516104458242,86.35,95.72
1.5,2.0,0.001,0.01,0.12301161765520062,87.08,95.694
0.9,4.0,0.001,0.01,0.12954063152856365,86.52,95.394
3.0,0.9,0.001,0.01,0.12976421613474282,86.28,95.326
0.1,0.1,0.001,0.01,0.13076045814597484,86.51,91.288
1.0,3.5,0.001,0.01,0.13109174910552648,86.13,95.394
2.0,1.5,0.001,0.01,0.1316236581045146,86.99,95.362
3.0,1.0,0.001,0.01,0.14134019381385676,86.84,94.998
1.0,4.0,0.001,0.01,0.14386935625225306,86.11,94.952
1.5,2.5,0.001,0.01,0.14781783510721763,87.16,94.842
3.5,0.9,0.001,0.01,0.15224196815064975,85.52,94.644
2.0,2.0,0.001,0.01,0.16802315535594006,85.58,94.122
1.5,3.0,0.001,0.01,0.16898992288933726,85.58,94.024
2.5,1.5,0.001,0.01,0.16905202435291544,86.3,93.962
3.5,1.0,0.001,0.01,0.1697881387888777,86.08,94.024
4.0,0.9,0.001,0.01,0.17729152548982172,85.31,93.708
1.5,3.5,0.001,0.01,0.19189029901611562,85.74,93.298
4.0,1.0,0.001,0.01,0.19294592088126405,84.87,93.18
2.0,2.5,0.001,0.01,0.1982938063387968,85.5,93.002
3.0,1.5,0.001,0.01,0.20351022314660402,84.54,92.856
1.5,4.0,0.001,0.01,0.2072818984030461,84.65,92.78
2.5,2.0,0.001,0.01,0.20806281413046682,85.32,92.676
2.0,3.0,0.001,0.01,0.21878780667879144,84.31,92.408
3.5,1.5,0.001,0.01,0.2341882164533041,84.1,91.852
2.0,3.5,0.001,0.01,0.23905841538644568,82.78,91.812
2.5,2.5,0.001,0.01,0.2441325840369171,83.91,91.514
3.0,2.0,0.001,0.01,0.24884277753227826,83.86,91.14
2.0,4.0,0.001,0.01,0.2628124964480497,83.28,90.94
4.0,1.5,0.001,0.01,0.2706125459196616,82.25,90.48
2.5,3.0,0.001,0.01,0.27579004750872144,80.5,90.452
3.0,2.5,0.001,0.01,0.28365081989643526,81.76,90.214
3.5,2.0,0.001,0.01,0.2857579075332199,82.92,90.034
2.5,3.5,0.001,0.01,0.295666406121181,82.09,89.75
2.5,4.0,0.001,0.01,0.30831790099642714,82.41,89.282
3.0,3.0,0.001,0.01,0.31241821984247287,82.75,89.118
4.0,2.0,0.001,0.01,0.3171338457234052,82.02,89.0
3.5,2.5,0.001,0.01,0.32462844435049565,80.34,88.728
3.0,3.5,0.001,0.01,0.33373247406312395,80.76,88.576
3.5,3.0,0.001,0.01,0.35611029379830067,78.35,87.71
3.0,4.0,0.001,0.01,0.358745207667959,78.23,87.468
4.0,2.5,0.001,0.01,0.3609820592160128,81.63,87.55
3.5,3.5,0.001,0.01,0.3799169233106837,80.65,86.912
4.0,3.0,0.001,0.01,0.3897083254188907,78.02,86.558
3.5,4.0,0.001,0.01,0.39812720232472126,76.1,86.132
4.0,3.5,0.001,0.01,0.41942654139533336,76.83,85.584
4.0,4.0,0.001,0.01,0.438568079349946,73.24,84.918
