step;validation_loss;optimizer
0;10.861961364746094;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
1000;5.610512733459473;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
2000;4.9981608390808105;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
3000;4.485657691955566;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
4000;4.247683048248291;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
5000;4.091536045074463;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
6000;3.9772324562072754;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
7000;3.9305896759033203;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
8000;3.8778796195983887;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
9000;3.848163366317749;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
10000;3.8213062286376953;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
11000;3.7853081226348877;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
12000;3.765894889831543;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
13000;3.7625534534454346;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
14000;3.752903699874878;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
15000;3.762225866317749;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
16000;3.750386953353882;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
17000;3.728318452835083;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
18000;3.729140520095825;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
19000;3.691415309906006;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
20000;3.697064161300659;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
21000;3.685797691345215;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
22000;3.6724860668182373;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
23000;3.6922075748443604;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
24000;3.6754512786865234;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
25000;3.6641454696655273;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
26000;3.658229351043701;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
27000;3.654824733734131;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
28000;3.6565232276916504;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
29000;3.6528942584991455;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
30000;3.643911361694336;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
31000;3.656505823135376;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
32000;3.6408889293670654;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
33000;3.6103355884552;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
34000;3.6373486518859863;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
35000;3.6102898120880127;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
36000;3.6255648136138916;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
37000;3.619922399520874;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
38000;3.6253418922424316;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
39000;3.6218924522399902;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
40000;3.6019809246063232;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
41000;3.612201452255249;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
42000;3.6006357669830322;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
43000;3.5990240573883057;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
44000;3.580679416656494;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
45000;3.6104466915130615;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
46000;3.5913870334625244;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
47000;3.5722391605377197;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
48000;3.596883535385132;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
49000;3.568898916244507;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
50000;3.57912015914917;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
51000;3.570525884628296;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
52000;3.5795814990997314;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
53000;3.5604496002197266;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
54000;3.5780599117279053;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
55000;3.550848960876465;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
56000;3.5717661380767822;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
57000;3.5728509426116943;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
58000;3.559779644012451;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
59000;3.530867576599121;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
60000;3.5535781383514404;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
61000;3.569321632385254;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
62000;3.53739070892334;INNAprop, ($\alpha$, $\beta$) = (1.0, 1.0)
