step;validation_loss;optimizer
73000;3.499157190322876;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
74000;3.4975998401641846;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
75000;3.4806737899780273;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
76000;3.497133493423462;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
77000;3.4758141040802;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
78000;3.499460220336914;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
79000;3.486323833465576;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
80000;3.5117855072021484;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
81000;3.4847402572631836;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
82000;3.504162311553955;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
83000;3.4902172088623047;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
84000;3.492918014526367;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
85000;3.472886323928833;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
86000;3.4811267852783203;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
87000;3.485499858856201;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
88000;3.4966979026794434;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
89000;3.475614070892334;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
90000;3.4891295433044434;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
91000;3.4771556854248047;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
92000;3.4757239818573;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
93000;3.4633302688598633;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
94000;3.474339008331299;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
95000;3.478050470352173;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
96000;3.4885504245758057;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
97000;3.475038528442383;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
98000;3.490330219268799;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
99000;3.4769232273101807;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
100000;3.472939968109131;INNAprop, ($\alpha$, $\beta$) = (0.1, 0.9)
