alpha,beta,lr,weight_decay,train_loss,test_acc,train_acc
0.5,3.0,0.001,0.0,0.00015148838900407618,90.84,99.992
0.5,2.5,0.001,0.0,0.00015729154710224604,90.97,99.992
0.5,4.0,0.001,0.0,0.0001665552920756881,91.63,99.998
0.5,3.5,0.001,0.0,0.00016791346466113295,91.2,99.998
0.1,4.0,0.001,0.0,0.0001731860801465581,90.59,99.988
1.0,1.0,0.001,0.0,0.00018322421929923974,90.96,99.996
0.5,2.0,0.001,0.0,0.00020105460768430632,91.3,99.988
0.9,2.0,0.001,0.0,0.00020114360734981216,91.26,99.992
1.0,1.5,0.001,0.0,0.0002011793405764755,91.1,99.994
0.9,0.9,0.001,0.0,0.00020485775224429113,91.05,99.992
0.9,1.5,0.001,0.0,0.0002053797101608529,90.93,99.994
0.9,1.0,0.001,0.0,0.00020611460163558364,91.04,99.988
0.5,1.5,0.001,0.0,0.000229207824436715,91.39,99.992
1.5,0.5,0.001,0.0,0.00023149940649689745,90.89,99.988
1.5,1.0,0.001,0.0,0.00023444817412639066,91.48,99.996
1.5,0.9,0.001,0.0,0.00023629075332922054,91.36,99.996
1.0,0.5,0.001,0.0,0.00024058029198061246,90.8,99.992
1.0,0.9,0.001,0.0,0.00025103257197009286,90.99,99.988
0.5,0.9,0.001,0.0,0.0002534514850297882,90.48,99.994
0.9,2.5,0.001,0.0,0.00026042776522788294,91.41,99.992
2.0,0.5,0.001,0.0,0.00026066744441536406,90.92,99.994
0.5,1.0,0.001,0.0,0.00027699259612281636,90.73,99.988
0.9,0.5,0.001,0.0,0.00027955249294689345,90.65,99.988
0.1,3.0,0.001,0.0,0.0002900139693271429,90.76,99.994
1.0,2.0,0.001,0.0,0.0002972361678948058,91.76,99.998
1.5,1.5,0.001,0.0,0.00029794627475987034,91.62,99.998
2.5,0.5,0.001,0.0,0.0002989176634669928,90.64,99.996
0.9,3.5,0.001,0.0,0.0003002499892757822,91.6,99.994
2.0,0.9,0.001,0.0,0.0003083312912520119,90.99,99.992
1.0,2.5,0.001,0.0,0.0003106463354252086,91.55,99.992
0.1,2.5,0.001,0.0,0.0003182803791341545,90.45,99.988
0.9,4.0,0.001,0.0,0.00032510762466073377,91.69,99.986
0.1,3.5,0.001,0.0,0.0003295657540627011,90.67,99.982
3.0,0.5,0.001,0.0,0.0003334963170048895,90.57,99.992
0.9,3.0,0.001,0.0,0.0003364807734614056,91.82,99.994
1.0,3.0,0.001,0.0,0.0003466453881582292,91.56,99.994
2.0,1.0,0.001,0.0,0.0003597788864212538,91.38,99.988
0.5,0.5,0.001,0.0,0.00036921841804690546,90.14,99.988
3.5,0.5,0.001,0.0,0.000382660607278481,90.56,99.988
0.1,2.0,0.001,0.0,0.00038856956428072833,90.36,99.98
1.0,3.5,0.001,0.0,0.00039265907048038385,91.62,99.99
1.5,2.0,0.001,0.0,0.00040141838703257977,91.46,99.994
1.0,4.0,0.001,0.0,0.0004250108027663976,91.97,99.992
2.5,0.1,0.001,0.0,0.00044341311071808117,88.22,99.99
3.5,0.1,0.001,0.0,0.00046109827369909167,88.18,99.984
2.5,0.9,0.001,0.0,0.00047701088306332764,91.08,99.988
2.0,0.1,0.001,0.0,0.00048034406508382484,88.79,99.986
0.1,1.5,0.001,0.0,0.0004826165228362463,90.8,99.972
2.5,1.0,0.001,0.0,0.0005095355180187931,91.51,99.988
3.0,0.1,0.001,0.0,0.0005102484587278199,88.74,99.988
4.0,0.1,0.001,0.0,0.0005117184322842855,88.24,99.99
4.0,0.5,0.001,0.0,0.0005280363389523031,90.46,99.984
1.5,0.1,0.001,0.0,0.0005431200191000787,89.23,99.984
3.0,0.9,0.001,0.0,0.0005871391995172843,91.09,99.978
0.9,0.1,0.001,0.0,0.0006105853353105608,89.14,99.962
2.0,1.5,0.001,0.0,0.0006140913596101776,91.21,99.982
0.1,1.0,0.001,0.0,0.000645362241851841,90.16,99.964
1.5,2.5,0.001,0.0,0.000651064832519129,91.56,99.974
3.0,1.0,0.001,0.0,0.0006700855378488884,91.23,99.982
0.1,0.9,0.001,0.0,0.0006724598157113493,90.41,99.97
1.0,0.1,0.001,0.0,0.0007077501616419925,88.93,99.966
1.5,3.0,0.001,0.0,0.0007122263503946186,91.62,99.978
1.5,3.5,0.001,0.0,0.0008674177007675581,91.58,99.986
2.0,2.0,0.001,0.0,0.000876561124952638,91.54,99.982
3.5,0.9,0.001,0.0,0.0009044728455211619,90.92,99.982
3.5,1.0,0.001,0.0,0.0011056489158215057,91.08,99.97
2.5,1.5,0.001,0.0,0.0011199007660289513,91.32,99.976
0.5,0.1,0.001,0.0,0.0011358873194388494,88.77,99.954
1.5,4.0,0.001,0.0,0.0011732246976651818,91.57,99.96
0.1,0.5,0.001,0.0,0.0012574579673267237,89.72,99.942
2.0,2.5,0.001,0.0,0.0012604088003163084,91.81,99.958
4.0,0.9,0.001,0.0,0.0013376716444549763,91.21,99.976
3.0,1.5,0.001,0.0,0.001459426332929775,91.24,99.966
2.0,3.0,0.001,0.0,0.0015486006174184267,91.6,99.942
2.0,3.5,0.001,0.0,0.0017152284929078613,92.11,99.948
2.5,2.0,0.001,0.0,0.0017184365207440907,91.73,99.95
4.0,1.0,0.001,0.0,0.002070111602177126,90.78,99.956
2.5,2.5,0.001,0.0,0.0021658971202167757,91.46,99.92
2.0,4.0,0.001,0.0,0.0022453408438399937,91.84,99.932
3.5,1.5,0.001,0.0,0.0026682920562627853,91.34,99.942
0.1,0.1,0.001,0.0,0.0029902392779502184,88.62,99.85
3.0,2.0,0.001,0.0,0.00302726903694803,91.14,99.93
2.5,3.0,0.001,0.0,0.003125413625769267,91.49,99.91
2.5,3.5,0.001,0.0,0.0034306417645318422,91.6,99.898
2.5,4.0,0.001,0.0,0.0039557785124979625,91.4,99.898
3.0,2.5,0.001,0.0,0.004155908181149114,91.41,99.886
4.0,1.5,0.001,0.0,0.004580591739387292,90.8,99.872
3.0,3.0,0.001,0.0,0.004827668185628552,91.36,99.844
3.5,2.0,0.001,0.0,0.005019903345912878,91.04,99.852
3.0,3.5,0.001,0.0,0.005717300878892943,91.61,99.818
3.0,4.0,0.001,0.0,0.005976262694071474,91.46,99.798
3.5,2.5,0.001,0.0,0.007611184427871046,91.14,99.806
4.0,2.0,0.001,0.0,0.008322168270714594,91.17,99.696
3.5,3.0,0.001,0.0,0.009112787085504517,91.11,99.698
3.5,3.5,0.001,0.0,0.010155146817183146,91.35,99.696
4.0,2.5,0.001,0.0,0.010865869623910616,91.4,99.664
3.5,4.0,0.001,0.0,0.01175771895080344,91.12,99.612
4.0,3.0,0.001,0.0,0.013458133399562568,90.88,99.57
4.0,3.5,0.001,0.0,0.015111030049726595,90.82,99.514
4.0,4.0,0.001,0.0,0.017214813121482826,90.7,99.402
