,lr,weight_decay,train_loss,test_acc
13,0.005,0.1,0.0007679047589961704,93.0
8,0.01,0.1,0.00399210826817951,92.09
21,0.01,0.01,0.00036840430937802794,91.7
14,0.001,0.1,0.00041857167189957587,91.55
3,0.005,0.01,0.00023494969317298177,91.36
9,0.01,0.0,0.00016706995149825022,91.31
24,0.001,0.001,0.00025804337583534164,91.3
15,0.005,0.0001,0.00034914004887713537,91.25
4,0.005,0.0,0.00027825080029361736,91.19
20,0.001,0.0001,0.0003164181559611734,91.11
7,0.001,0.01,0.0003259853590847973,91.09
19,0.01,0.001,0.00027889681465544076,91.08
17,0.005,0.001,0.0003051793344372773,91.08
10,0.0005,0.1,0.0004283658690188271,91.08
23,0.001,0.0,0.00023745336184643348,90.89
6,0.0005,0.01,0.00038265812825403946,90.65
22,0.01,0.0001,0.0005839721587424915,90.63
0,0.0005,0.001,0.0003485806404643547,90.57
12,0.0005,0.0001,0.00028988256765758857,90.52
5,0.0005,0.0,0.00044999001048910605,90.39
11,0.0001,0.1,0.0019157956592199318,85.93
1,0.0001,0.0001,0.0021598475586684725,85.82
18,0.0001,0.01,0.0016885786766467892,85.69
2,0.0001,0.0,0.001821565091984444,85.66
16,0.0001,0.001,0.0020000571999770154,85.65
