epoch,train_loss,train_acc1,train_acc5,val_acc1,val_acc5,best_acc1,best_acc5,optimizer
0,5.195621053941481,8.905935833492334,21.994305196389085,10.874,28.106,10.874,28.106,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
1,3.6698456947620097,25.87576336588095,49.311253481007846,21.6,44.606,21.6,44.606,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
2,3.0930187443991404,34.792938943023756,59.79637330902173,37.708,64.936,37.708,64.936,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
3,2.8076518142378175,39.642576148882675,64.80118142176191,35.38,61.15,37.708,64.936,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
4,2.632604075454689,42.671687085200965,67.69697650817335,40.178,66.544,40.178,66.544,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
5,2.5209884486593803,44.631461291476164,69.5971176300672,36.754,62.874,40.178,66.544,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
6,2.4332352934064683,46.2787081785963,71.07108513452864,43.022,69.556,43.022,69.556,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
7,2.372464668762672,47.414234510913424,72.11357136574729,42.518,68.922,43.022,69.556,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
8,2.330246985589827,48.123275011218475,72.59250933494576,45.656,72.068,45.656,72.068,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
9,2.2955454662963226,48.805777227898076,73.29873989974611,45.686,72.316,45.686,72.316,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
10,2.266892469679559,49.29002285400267,73.70243402856747,36.944,62.66,45.686,72.316,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
11,2.233463050506927,49.984389244480624,74.3437238513181,38.986,65.606,45.686,72.316,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
12,2.225126016842616,50.154546476340336,74.46611217264247,44.602,70.724,45.686,72.316,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
13,2.188089177229783,50.8919985509408,75.0724339033003,49.916,75.444,49.916,75.444,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
14,2.180779180374298,50.900116143923306,75.06400409626217,39.616,65.624,49.916,75.444,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
15,2.1564793257803827,51.51861426424546,75.43273013375295,45.528,71.44,49.916,75.444,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
16,2.1431729190952176,51.64912017774244,75.64191425324391,40.572,66.532,49.916,75.444,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
17,2.1230412101173974,52.0453211443604,75.9675546056594,49.912,75.858,49.916,75.858,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
18,2.1025590663666014,52.37564472395098,76.32035767333697,40.884,66.634,49.916,75.858,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
19,2.0865795527304805,52.78402207956629,76.55077241988076,49.742,75.486,49.916,75.858,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
20,2.083947471281389,52.77871442270781,76.62195746333786,43.334,69.04,49.916,75.858,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
21,2.0647179790548273,53.15462140767939,76.89046245234466,43.458,70.01,49.916,75.858,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
22,2.0526632940614378,53.34413597544557,77.06811284626484,43.786,69.896,49.916,75.858,"INNAprop, ($\alpha$, $\beta$)= (2.0,1.0), lr = 0.001, wd = 0.1"
