epoch,train_loss,train_acc1,train_acc5,val_acc1,val_acc5,best_acc1,best_acc5,optimizer
0,4.8846111813982525,12.001236371774992,27.31382613351012,22.93,46.438,22.93,46.438,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0), lr = 0.001, wd = 0.01"
1,3.447285950457776,29.277034705545088,53.2663944147151,33.66,59.378,33.66,59.378,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0), lr = 0.001, wd = 0.01"
2,2.9625202847765637,37.24882294867786,61.99343099393194,40.712,67.194,40.712,67.194,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0), lr = 0.001, wd = 0.01"
3,2.7161574737651724,41.67509647432413,66.15213617573964,44.378,69.964,44.378,69.964,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0), lr = 0.001, wd = 0.01"
4,2.5464908591040842,44.559027387413614,68.9573888826446,49.206,74.438,49.206,74.438,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0), lr = 0.001, wd = 0.01"
5,2.428986488284169,46.81603037223765,70.9446380175229,49.28,74.348,49.28,74.438,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0), lr = 0.001, wd = 0.01"
6,2.338725072996957,48.4326801791458,72.25719031355278,50.872,75.556,50.872,75.556,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0), lr = 0.001, wd = 0.01"
7,2.2594726709219124,49.85325890110968,73.5428921102818,53.24,77.81,53.24,77.81,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0), lr = 0.001, wd = 0.01"
8,2.2047586509159633,50.95131942074247,74.39648820384642,53.86,78.036,53.86,78.036,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0), lr = 0.001, wd = 0.01"
9,2.151832801502544,51.94353902031018,75.21480399135788,52.24,76.558,53.86,78.036,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0), lr = 0.001, wd = 0.01"
10,2.1145682987990555,52.684425461480295,75.7443208065964,55.74,79.672,55.74,79.672,"INNAprop, ($\alpha$, $\beta$)= (1.0,1.0), lr = 0.001, wd = 0.01"
