alpha,beta,lr,weight_decay,train_loss,test_acc,train_acc
0.1,1.0,0.001,0.0,0.02591269272165753,89.21,99.072
0.1,0.5,0.001,0.0,0.027147139622164623,88.4,99.062
0.1,0.9,0.001,0.0,0.027667421708596224,88.86,99.036
0.1,1.5,0.001,0.0,0.028327076612705632,89.13,99.054
0.1,2.0,0.001,0.0,0.03463218246862216,89.44,98.794
0.5,0.5,0.001,0.0,0.03584444018470465,88.64,98.734
0.1,2.5,0.001,0.0,0.037790553677561026,88.55,98.686
0.5,0.1,0.001,0.0,0.03820816656023416,87.6,98.598
0.1,0.1,0.001,0.0,0.039890115871569334,87.51,98.564
0.9,0.1,0.001,0.0,0.04111367690956638,87.47,98.546
0.5,0.9,0.001,0.0,0.04163828873009022,88.68,98.562
0.1,3.0,0.001,0.0,0.041911950762554696,88.89,98.426
1.0,0.1,0.001,0.0,0.043833368624161394,87.16,98.48
0.1,4.0,0.001,0.0,0.045012733789769055,88.34,98.27
0.1,3.5,0.001,0.0,0.045341927586693545,89.05,98.326
0.5,1.0,0.001,0.0,0.04578424130604431,88.95,98.264
0.9,0.5,0.001,0.0,0.04692407342491253,88.72,98.388
1.5,0.1,0.001,0.0,0.04793456499939974,87.5,98.31
1.0,0.5,0.001,0.0,0.049502535737404714,88.24,98.212
2.0,0.1,0.001,0.0,0.051442357701990675,87.12,98.198
0.5,1.5,0.001,0.0,0.05355591497654855,88.94,98.114
2.5,0.1,0.001,0.0,0.05493488453081524,86.14,97.894
3.0,0.1,0.001,0.0,0.0568184673106678,86.46,98.028
0.9,0.9,0.001,0.0,0.05851948394544651,88.75,97.916
0.9,1.0,0.001,0.0,0.06432940434588462,89.18,97.686
1.0,0.9,0.001,0.0,0.06512982129565992,88.35,97.734
1.5,0.5,0.001,0.0,0.06576002603966971,87.99,97.63
3.5,0.1,0.001,0.0,0.06661496914885177,85.95,97.624
0.5,2.0,0.001,0.0,0.06662164357661897,88.66,97.552
4.0,0.1,0.001,0.0,0.06951503883287007,85.66,97.548
1.0,1.0,0.001,0.0,0.06994959498204444,88.47,97.42
0.5,2.5,0.001,0.0,0.0760951129558059,88.29,97.266
0.9,1.5,0.001,0.0,0.08164675564182047,88.33,97.058
2.0,0.5,0.001,0.0,0.08217313607242338,87.76,97.106
0.5,3.0,0.001,0.0,0.08455764182025985,88.5,96.968
1.5,0.9,0.001,0.0,0.09043345385592202,88.38,96.854
1.0,1.5,0.001,0.0,0.09491089712448265,88.26,96.51
1.5,1.0,0.001,0.0,0.09492423307454707,88.1,96.654
0.5,3.5,0.001,0.0,0.09545514756357487,88.5,96.66
2.5,0.5,0.001,0.0,0.10304204526604438,87.36,96.338
0.9,2.0,0.001,0.0,0.10325603817152429,87.91,96.262
0.5,4.0,0.001,0.0,0.10875094385475528,88.11,96.072
3.0,0.5,0.001,0.0,0.11734741160227936,86.69,95.842
1.0,2.0,0.001,0.0,0.11919097088239326,87.68,95.706
2.0,0.9,0.001,0.0,0.12025473512024903,87.81,95.688
2.0,1.0,0.001,0.0,0.12752369631614005,86.87,95.386
0.9,2.5,0.001,0.0,0.1291992881012206,87.76,87.928
1.5,1.5,0.001,0.0,0.13148128948345475,87.72,95.346
3.5,0.5,0.001,0.0,0.13327429926365006,86.67,95.14
1.0,2.5,0.001,0.0,0.13504140641616316,87.47,95.208
0.9,3.0,0.001,0.0,0.13841215846109756,87.53,95.188
2.5,0.9,0.001,0.0,0.14637535795265313,87.62,94.938
0.9,3.5,0.001,0.0,0.15002848287778242,86.02,94.698
1.0,3.0,0.001,0.0,0.15072756817526356,86.89,94.652
4.0,0.5,0.001,0.0,0.15326950442502085,86.43,94.53
1.5,2.0,0.001,0.0,0.15787921199689106,87.37,94.378
2.5,1.0,0.001,0.0,0.15955042162415933,86.73,94.374
0.9,4.0,0.001,0.0,0.16365774335073574,86.95,94.18
3.0,0.9,0.001,0.0,0.16533637316707445,87.02,94.086
1.0,3.5,0.001,0.0,0.16804979809997034,86.35,94.15
2.0,1.5,0.001,0.0,0.1700152813704038,86.43,93.944
1.0,4.0,0.001,0.0,0.17659245298377105,86.43,93.864
1.5,2.5,0.001,0.0,0.18790286984674784,86.83,93.428
3.0,1.0,0.001,0.0,0.1881400705980403,86.76,93.256
3.5,0.9,0.001,0.0,0.19973193960530417,85.61,92.93
1.5,3.0,0.001,0.0,0.20294187077302106,86.25,92.83
2.0,2.0,0.001,0.0,0.20848059072634395,85.92,92.714
2.5,1.5,0.001,0.0,0.2085425745391724,86.47,92.626
3.5,1.0,0.001,0.0,0.21646562005792344,86.44,92.342
4.0,0.9,0.001,0.0,0.22399587039740718,85.5,92.144
1.5,3.5,0.001,0.0,0.22590802100544072,83.32,92.05
2.0,2.5,0.001,0.0,0.2289518898695099,85.78,91.796
4.0,1.0,0.001,0.0,0.22958610092802922,85.18,91.98
1.5,4.0,0.001,0.0,0.2416208171646814,86.22,91.502
3.0,1.5,0.001,0.0,0.2419289785380266,84.07,91.522
2.5,2.0,0.001,0.0,0.2508865038351137,84.34,91.186
2.0,3.0,0.001,0.0,0.25310620239802767,84.88,91.218
3.5,1.5,0.001,0.0,0.2682438339962035,84.95,90.562
2.0,3.5,0.001,0.0,0.28255899778890364,84.03,90.16
2.5,2.5,0.001,0.0,0.2851886727980205,83.41,90.074
3.0,2.0,0.001,0.0,0.2870186003951394,83.5,89.96
2.0,4.0,0.001,0.0,0.29345368487494333,81.42,89.836
2.5,3.0,0.001,0.0,0.3010975248655494,82.03,89.604
4.0,1.5,0.001,0.0,0.30267215185627644,83.5,89.406
3.0,2.5,0.001,0.0,0.31465809860703897,82.82,89.038
2.5,3.5,0.001,0.0,0.31598323857297705,80.66,89.054
3.5,2.0,0.001,0.0,0.31773960042972954,79.85,89.062
4.0,2.0,0.001,0.0,0.34287889978411246,78.82,88.042
2.5,4.0,0.001,0.0,0.3447912894189358,79.74,88.044
3.0,3.0,0.001,0.0,0.34696013564053846,79.44,74.172
3.5,2.5,0.001,0.0,0.3533370687949414,80.43,87.948
3.0,3.5,0.001,0.0,0.363464354100276,77.86,87.53
3.5,3.0,0.001,0.0,0.37558308198135726,75.95,86.936
4.0,2.5,0.001,0.0,0.3805618055012761,79.33,86.772
3.0,4.0,0.001,0.0,0.3832010830543479,78.01,86.846
4.0,3.0,0.001,0.0,0.4032222894685609,77.23,86.206
3.5,3.5,0.001,0.0,0.40476216315006724,73.53,86.072
3.5,4.0,0.001,0.0,0.4206710764948203,73.65,85.13
4.0,3.5,0.001,0.0,0.4428827738275333,74.56,84.842
4.0,4.0,0.001,0.0,0.4538079684182089,69.73,83.118
